OBJECTID,GEOID10,County,WCh18,WOCH18,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,DIVINDX_CY,x,y
1,41049970100,Morrow,42364,54730,5845,71,111,94,15,1924,228,74.7,,
2,41049970200,Morrow,65294,59583,2954,5,37,10,0,134,94,26.6,,
3,41007950100,Clatsop,39438,61696,2719,18,51,67,2,206,93,42.4,,
4,41007950200,Clatsop,47621,59167,3433,28,26,61,2,40,107,21.2,,
5,41007950300,Clatsop,39737,56700,2587,60,50,66,23,155,147,46.8,,
6,41007950400,Clatsop,69333,64514,3341,17,46,26,6,37,84,17.1,,
7,41007950500,Clatsop,31622,40096,4405,26,68,56,37,88,137,25.1,,
8,41007950600,Clatsop,64375,66477,2350,23,22,21,3,68,78,24.8,,
9,41007950700,Clatsop,72188,57656,1931,6,14,19,3,71,53,26.3,,
10,41007951300,Clatsop,63300,65042,2216,8,16,27,1,17,59,15.3,,
11,41007951200,Clatsop,58958,44787,2900,8,28,25,3,34,91,20.8,,
12,41007950900,Clatsop,42663,61563,3992,43,46,50,4,258,147,39.5,,
14,41007951100,Clatsop,28426,69137,4103,13,33,67,7,287,102,35.8,,
15,41003010200,Benton,82102,83958,3797,18,39,58,3,33,141,20.9,,
16,41003000600,Benton,37667,54453,4134,89,41,202,19,201,204,40.1,,
17,41003010100,Benton,84956,78793,8086,49,63,153,14,83,205,19.2,,
18,41003000500,Benton,74833,84551,3002,19,13,91,3,18,94,19,,
19,41003000100,Benton,37390,54792,6036,109,53,248,25,369,304,44.4,,
20,41003010400,Benton,65781,66328,3492,13,37,25,3,152,88,29.6,,
21,41003010300,Benton,81354,72222,3027,5,37,24,0,28,96,16.1,,
22,41003000900,Benton,113214,88281,4579,36,26,372,19,87,176,32.1,,
23,41003000400,Benton,100956,96302,6945,86,38,621,8,88,244,31.1,,
24,41003001001,Benton,50208,70375,2980,49,59,205,19,411,157,61.7,,
25,41003001002,Benton,55357,64050,2717,31,18,213,7,74,136,35.8,,
26,41003001101,Benton,53807,21510,3126,49,34,369,11,49,149,37.8,,
27,41003001102,Benton,38167,60250,3817,58,23,461,14,76,210,39.2,,
28,41003000202,Benton,96023,70350,4619,55,31,304,13,70,179,28.8,,
29,41003010702,Benton,48621,57344,2871,73,27,387,32,63,162,42.6,,
30,41003010800,Benton,65898,66719,3154,26,45,26,0,118,138,31,,
31,41003010600,Benton,23958,25913,4322,91,59,541,37,152,273,45.6,,
32,41003010900,Benton,94853,92882,4376,67,18,239,13,77,178,30,,
33,41027950100,Hood River,51250,65441,3299,26,74,54,18,675,158,65.8,,
34,41027950200,Hood River,84543,66927,6067,27,32,133,9,447,192,43.4,,
35,41027950300,Hood River,43796,75250,5134,41,43,80,5,451,187,55.2,,
36,41027950400,Hood River,46034,53036,4375,28,49,51,13,988,212,70.7,,
37,41059951400,Umatilla,52667,51250,2237,0,39,9,1,37,78,19,,
38,41059950500,Umatilla,55313,61538,3892,20,91,43,10,171,160,33.5,,
39,41059950200,Umatilla,34875,46186,5380,40,63,42,2,1860,210,74.5,,
40,41059950700,Umatilla,37458,60789,2108,7,115,16,4,86,111,37.5,,
41,41059950900,Umatilla,37454,62768,3271,27,51,22,3,997,99,72.1,,
42,41059951100,Umatilla,40243,64864,4486,51,64,66,21,928,160,64.6,,
43,41059950800,Umatilla,47917,63654,5982,171,110,43,10,1317,281,69.2,,
44,41059950100,Umatilla,54327,53102,3799,5,44,42,1,250,100,36.6,,
45,41059951000,Umatilla,48043,69781,4681,45,86,64,6,1333,194,72,,
46,41059950400,Umatilla,78571,82768,5539,173,179,89,9,160,157,36.5,,
47,41071030400,Yamhill,71580,75404,7412,23,78,59,14,163,249,23.5,,
48,41071030900,Yamhill,52500,60448,3653,18,51,37,1,607,133,59.9,,
49,41071031000,Yamhill,49345,81328,3632,26,100,26,6,200,158,37.5,,
50,41071030702,Yamhill,38325,50769,5997,46,96,79,11,923,282,58.3,,
51,41071030801,Yamhill,41715,63400,4014,43,84,62,7,878,213,65.6,,
52,41071030802,Yamhill,20000,38365,3563,80,57,142,20,472,213,62.3,,
53,41071030501,Yamhill,62670,60143,4876,362,236,117,59,466,275,57,,
54,41071030202,Yamhill,33368,53036,5159,63,79,74,14,805,224,58.6,,
55,41071030502,Yamhill,44808,51464,4284,35,359,108,3,126,252,39.6,,
56,41071030701,Yamhill,74255,70759,6827,41,99,132,16,601,200,43.1,,
57,41071030201,Yamhill,38167,64167,5061,58,58,202,24,520,224,49.9,,
58,41071030302,Yamhill,108000,97292,2088,6,2,25,1,28,43,18.6,,
59,41071030102,Yamhill,76674,81850,6997,57,50,138,8,289,213,29.7,,
60,41071030602,Yamhill,78098,77341,5377,41,54,114,22,371,172,41.3,,
61,41071030601,Yamhill,45694,52222,2839,22,50,22,5,497,155,61.5,,
62,41071030101,Yamhill,69167,82181,5194,24,27,157,6,183,194,30,,
63,41071030301,Yamhill,75378,69882,8680,41,110,111,8,560,313,41.1,,
64,41059940000,Umatilla,58438,57643,1368,17,1403,8,1,23,169,61.1,,
65,41059951200,Umatilla,48517,61863,6393,53,102,162,24,1729,315,71.4,,
66,41059951300,Umatilla,44000,68750,2803,9,45,5,7,748,127,66.1,,
67,41059950300,Umatilla,61667,66771,2565,7,57,12,0,100,66,27.9,,
68,41059950600,Umatilla,75360,56563,5436,53,213,88,5,274,240,38.5,,
69,41057960200,Tillamook,37917,48793,2348,9,19,28,0,17,68,15.9,,
70,41057960300,Tillamook,44327,63207,2195,1,19,22,1,64,53,23.3,,
71,41057960700,Tillamook,67143,60329,2404,10,21,13,0,47,68,20.9,,
72,41057960100,Tillamook,29861,50000,3342,14,25,38,5,51,104,21.9,,
73,41057960400,Tillamook,43429,64138,6726,59,108,65,48,450,188,42,,
74,41057960500,Tillamook,40954,62159,1823,1,33,20,4,208,68,49.6,,
75,41057960600,Tillamook,57031,48393,2033,6,25,11,0,49,39,23.3,,
77,41057960800,Tillamook,35469,51200,2310,1,25,30,1,83,50,28.1,,
78,41039000404,Lane,55370,55880,3332,16,30,21,3,162,112,32,,
103,41039004800,Lane,11711,64219,3925,73,45,475,10,55,270,40.5,,
104,41039001202,Lane,58287,60046,3597,10,63,62,9,60,149,25.9,,
105,41039001500,Lane,40500,47550,4187,43,71,28,3,56,200,24.3,,
106,41039001801,Lane,57292,69275,4826,40,67,95,5,134,229,30.7,,
107,41039000200,Lane,58068,73281,4720,11,42,43,3,28,172,15.2,,
108,41039003202,Lane,31652,52112,3524,49,47,80,14,161,175,41.6,,
109,41039001400,Lane,44821,59615,2385,5,24,23,5,21,119,19.7,,
110,41039000300,Lane,74559,66765,2161,8,21,36,7,57,91,27.3,,
111,41039003600,Lane,101594,79231,3208,35,35,141,1,62,165,30.6,,
112,41039000403,Lane,41574,58266,4542,35,73,30,9,140,163,28.8,,
113,41039003400,Lane,22250,46406,4091,73,80,63,16,345,265,49.3,,
114,41039001600,Lane,58088,59100,4755,38,62,34,10,51,225,22.1,,
115,41039000100,Lane,44806,57760,4950,28,63,44,9,33,142,17.8,,
116,41039002102,Lane,30231,33590,5335,133,84,131,65,420,394,50.3,,
117,41053020204,Polk,58561,61313,4207,11,77,33,0,85,118,23,,
118,41053020203,Polk,54125,60820,2668,14,49,23,5,27,113,24,,
119,41053020400,Polk,44167,52448,5040,26,569,23,11,108,386,38.8,,
120,41053020302,Polk,52308,58894,7093,45,166,90,15,1774,370,69.5,,
121,41053005202,Polk,64311,64583,7883,91,75,314,51,374,415,41.7,,
122,41053005201,Polk,73155,87654,7885,102,88,309,19,338,396,39.3,,
131,41039000902,Lane,56250,59718,4354,9,44,33,5,23,154,16.4,,
132,41039001002,Lane,67234,78750,3935,17,45,49,9,90,156,24.5,,
133,41039003500,Lane,64115,62897,3986,27,69,53,12,132,174,31.8,,
134,41039004401,Lane,43461,59735,4814,120,81,131,9,368,384,50.3,,
135,41039001001,Lane,80361,64000,2489,17,20,28,5,10,80,16.5,,
136,41039004300,Lane,37717,42125,5479,78,122,94,16,454,319,47.4,,
137,41039004200,Lane,30625,28059,2893,66,92,33,9,226,240,51.2,,
138,41039001201,Lane,51250,45799,3697,10,51,48,3,115,133,27.7,,
139,41039003102,Lane,87188,55435,5926,225,74,579,15,158,423,43.2,,
140,41039005300,Lane,45956,93194,2319,31,16,63,4,30,120,26.4,,
141,41039002800,Lane,55774,60238,3554,37,46,55,4,212,198,41,,
142,41053005100,Polk,22264,34896,1636,14,69,17,9,301,119,64.4,,
143,41053020202,Polk,52118,58233,5992,14,128,45,8,139,186,27.3,,
144,41053005300,Polk,112409,81435,7815,67,92,234,13,331,322,35.2,,
145,41053020304,Polk,74276,62917,5456,72,93,211,28,483,273,49.5,,
146,41053020303,Polk,78142,74185,3855,84,59,184,29,294,232,47.8,,
147,41053020500,Polk,62466,58220,6284,15,100,72,11,97,145,21,,
157,41039003800,Lane,0,9688,5232,115,28,1039,29,94,351,45.8,,
158,41039004000,Lane,33262,41111,2128,38,36,32,3,123,160,42.8,,
159,41039002401,Lane,89615,70660,3548,37,18,126,13,43,121,24.7,,
160,41039001904,Lane,26750,39828,4356,32,65,68,12,331,259,43.7,,
161,41039002600,Lane,50306,45391,5697,73,95,136,35,344,401,43.3,,
162,41039001804,Lane,69271,66941,3455,23,30,35,12,76,158,28.7,,
163,41039001101,Lane,65577,71401,5093,15,46,68,6,204,202,28.9,,
164,41039001102,Lane,51176,59464,3617,21,38,24,4,73,101,21.2,,
165,41039002903,Lane,104688,71513,2360,24,15,116,1,25,98,28.5,,
166,41039002301,Lane,34471,62000,3477,47,61,57,4,153,182,36.7,,
167,41039004501,Lane,31250,54211,2177,34,36,100,5,47,122,34.9,,
168,41039003301,Lane,24695,47939,2650,30,56,37,8,307,161,50.6,,
169,41039000706,Lane,36140,42583,2400,15,25,27,5,21,54,16.3,,
170,41039002403,Lane,72432,68333,3936,29,33,103,17,37,150,25.5,,
171,41039002700,Lane,43485,50968,3479,36,81,49,9,201,266,43.1,,
172,41039005400,Lane,94199,64844,4644,44,27,194,9,44,210,25.5,,
173,41039002501,Lane,49321,52500,4275,57,93,115,22,170,198,39,,
174,41039001903,Lane,46630,49267,2558,23,49,12,3,209,143,44.2,,
175,41039003900,Lane,26938,37637,2521,86,49,87,15,117,147,41,,
176,41039001700,Lane,79457,55532,4987,20,66,72,5,59,165,19,,
177,41039000903,Lane,66750,63295,4988,26,68,38,16,89,190,23,,
178,41039000702,Lane,64375,57315,2396,9,33,18,4,13,83,16.9,,
179,41039001301,Lane,30679,59526,3133,16,32,28,1,82,101,23.3,,
180,41039000402,Lane,45000,67964,3181,14,42,19,8,88,106,23.4,,
181,41039004403,Lane,26203,39324,3740,116,53,160,27,318,305,53,,
182,41039002001,Lane,85339,60938,2865,13,41,40,6,67,91,25.5,,
183,41039004100,Lane,54028,54278,3461,23,43,67,2,90,152,28.5,,
184,41039002202,Lane,95481,67578,5034,81,38,306,11,56,204,29.4,,
185,41039000904,Lane,48519,48235,2802,3,56,35,4,58,119,25.4,,
186,41039003101,Lane,47432,81250,5275,87,50,303,25,100,254,32.7,,
187,41039002101,Lane,24167,63958,2365,36,49,60,7,149,132,43.8,,
188,41039001302,Lane,45969,50553,4737,17,69,53,0,96,217,26.2,,
189,41039000800,Lane,43348,60978,1483,3,18,16,0,8,61,17.1,,
190,41039000500,Lane,51875,38889,2063,2,32,18,0,3,61,15.3,,
191,41039005100,Lane,51250,56767,2639,41,50,91,5,51,207,35.6,,
192,41039005200,Lane,78333,71927,2053,13,11,72,0,5,98,22.5,,
193,41039004700,Lane,83611,77083,3257,46,37,89,3,58,139,26.8,,
194,41039004900,Lane,116630,105000,3844,55,20,201,7,43,172,27.8,,
195,41039004600,Lane,53750,49946,2409,49,23,49,2,36,144,29.6,,
196,41039002002,Lane,55938,65481,4400,42,68,96,22,192,235,37.5,,
197,41039005000,Lane,63412,82578,4563,64,47,173,8,103,220,30.6,,
198,41039002404,Lane,63493,54188,3569,58,56,55,19,111,168,34.2,,
199,41039002902,Lane,49438,71875,3370,54,32,104,14,53,225,32.3,,
200,41039002201,Lane,62143,73667,3275,27,31,143,10,37,111,25.9,,
201,41039003201,Lane,32474,37202,2634,52,46,44,4,183,171,46.7,,
202,41039003000,Lane,70602,77264,4002,55,21,157,7,70,168,27.7,,
203,41039001902,Lane,34024,57031,5521,91,105,70,29,459,314,48.5,,
204,41039001803,Lane,61369,53821,3602,40,41,18,7,80,185,27,,
205,41039003700,Lane,88438,82279,3379,53,22,382,9,63,182,38.3,,
206,41039002302,Lane,64756,60202,4125,41,40,83,12,133,195,31.8,,
207,41039000708,Lane,50588,40956,2088,13,46,15,1,25,71,20.7,,
208,41039000707,Lane,51957,48627,3832,13,47,40,15,64,104,22.4,,
210,41025960200,Harney,41875,51989,2074,9,22,7,0,47,54,19.4,,
211,41039002504,Lane,39750,52542,2428,45,39,76,6,215,142,48.9,,
212,41039004405,Lane,79721,88565,4177,55,32,277,3,36,198,28.3,,
213,41039003302,Lane,15458,36591,2829,41,45,37,8,174,208,44.5,,
214,41039002904,Lane,55541,65688,3014,51,27,285,11,64,128,35.4,,
215,41039004502,Lane,27462,57596,2932,59,40,88,10,192,152,43.8,,
216,41039000705,Lane,37404,45607,3447,5,54,50,14,43,167,26.2,,
217,41039002503,Lane,63231,58875,6642,109,75,266,19,330,336,40.8,,
218,41039004404,Lane,83833,76364,2999,34,34,155,7,33,171,31.1,,
219,41063960200,Wallowa,46250,50750,1824,6,11,9,1,4,42,11.5,,
220,41063960300,Wallowa,55417,50898,3103,12,27,13,1,21,70,13.6,,
221,41063960100,Wallowa,49107,51339,1872,13,12,6,5,15,43,12.6,,
222,41013950400,Crook,38802,47210,3617,11,73,18,1,50,65,16.6,,
223,41013950100,Crook,51094,60091,6530,13,131,41,5,234,157,27.5,,
224,41013950200,Crook,50536,49417,3960,5,46,27,1,178,86,28.3,,
225,41013950300,Crook,45701,57500,5061,15,75,18,4,267,133,32.3,,
226,41025960100,Harney,45139,47548,4824,21,218,29,1,70,178,26.1,,
227,41041950800,Lincoln,28542,54398,2953,23,54,34,5,87,118,32,,
228,41041950900,Lincoln,44077,61429,2796,15,102,65,6,349,160,55.2,,
229,41041951000,Lincoln,24861,74063,1766,32,48,60,5,307,87,60.6,,
230,41041951100,Lincoln,73269,84643,1457,13,21,22,3,76,61,40.7,,
231,41041951200,Lincoln,78194,54125,1816,2,32,16,2,6,76,18.4,,
232,41041950100,Lincoln,49922,51667,3212,14,96,13,0,48,128,24.8,,
233,41041950400,Lincoln,29750,44427,3231,23,154,55,3,297,158,48.7,,
234,41041951800,Lincoln,65184,57981,2974,8,611,15,6,34,281,44.8,,
235,41041951300,Lincoln,74659,44844,2272,3,82,20,2,20,82,22.4,,
236,41041951400,Lincoln,23852,65313,2686,27,105,12,2,32,114,26,,
237,41041951500,Lincoln,72692,47500,2343,5,21,17,2,17,70,14.4,,
238,41041951600,Lincoln,74643,45811,3283,21,53,35,10,18,155,20.8,,
239,41041951700,Lincoln,48125,54476,1888,32,45,15,2,27,33,22.6,,
240,41041950602,Lincoln,58534,53427,2016,0,34,27,4,43,70,23.9,,
242,41041950304,Lincoln,85118,85160,2729,9,108,32,3,273,128,47.5,,
243,41041950303,Lincoln,112756,76554,1200,11,35,45,7,34,28,31.4,,
244,41041950601,Lincoln,64490,51404,2359,12,58,34,1,24,70,20.2,,
251,41051001202,Multnomah,130577,84167,2945,23,14,166,9,27,108,25.2,,
252,41051001301,Multnomah,70167,68819,3502,39,24,127,2,56,156,27.2,,
253,41051001302,Multnomah,87143,81875,2665,22,9,157,5,32,152,29.3,,
254,41051001400,Multnomah,85893,69500,4240,67,27,228,2,78,199,30.4,,
255,41051001500,Multnomah,83750,88333,3022,15,12,110,7,30,126,23.4,,
256,41051001601,Multnomah,79948,69427,4949,117,44,502,50,147,256,40.5,,
257,41051001602,Multnomah,35764,55032,2823,227,48,815,28,244,229,64.2,,
258,41051001701,Multnomah,69038,63182,5061,294,95,643,24,239,321,49.7,,
259,41051001702,Multnomah,44464,57381,2751,243,60,491,21,123,264,57,,
260,41021960100,Gilliam,39167,59250,1811,3,19,3,13,26,26,17.2,,
261,41061970600,Union,64375,73684,3634,19,29,58,21,34,99,20.1,,
262,41061970100,Union,46172,51603,3253,6,34,10,14,42,56,14.9,,
263,41061970300,Union,52031,50811,2075,0,24,15,9,34,71,19.5,,
264,41061970200,Union,47857,52500,3283,4,36,8,5,40,87,16.1,,
265,41061970400,Union,49342,59167,2864,17,42,18,16,26,53,16.3,,
266,41051001801,Multnomah,38831,59828,3213,250,49,191,5,100,216,43.1,,
267,41051001802,Multnomah,79063,66607,3011,47,11,149,2,38,124,27,,
268,41051001900,Multnomah,133194,112031,4616,58,31,167,2,43,162,22.9,,
269,41051002000,Multnomah,36333,70050,4809,105,38,156,9,61,214,29.2,,
270,41051002100,Multnomah,33417,73906,2230,72,55,49,6,73,121,37.8,,
271,41051002401,Multnomah,130313,106688,2324,268,8,98,3,12,104,35.4,,
272,41051002402,Multnomah,84688,80667,2845,175,27,110,6,62,115,35,,
273,41051002501,Multnomah,145313,127135,4281,99,10,119,7,25,164,23.2,,
274,41051002502,Multnomah,82262,56711,3404,179,28,107,4,76,127,33.2,,
275,41061970700,Union,29534,42734,2835,53,64,62,98,69,85,32.9,,
276,41061970500,Union,41250,51620,3014,21,53,25,77,40,83,25.3,,
277,41061970800,Union,38667,46786,3339,23,31,46,42,100,111,27.5,,
278,41051002600,Multnomah,106316,113333,2495,33,5,68,1,16,105,20.4,,
279,41051002701,Multnomah,128625,92083,2841,18,5,108,0,24,150,23.8,,
280,41051002702,Multnomah,90875,67344,2325,93,23,131,9,21,93,31.1,,
281,41051002801,Multnomah,103125,75688,2505,38,5,245,5,25,86,29.8,,
282,41051002802,Multnomah,84688,63182,2573,76,25,169,3,32,115,33.8,,
283,41051002901,Multnomah,50833,70245,3636,218,50,313,22,103,164,41.6,,
284,41051002902,Multnomah,52173,81295,4233,233,44,450,8,142,245,44.3,,
285,41051003000,Multnomah,102008,85197,3780,284,16,147,4,51,176,33.1,,
286,41051003100,Multnomah,109643,72250,3974,284,38,116,22,62,194,34.8,,
287,41051003200,Multnomah,75714,58487,3134,480,39,112,12,64,233,45.2,,
288,41051003301,Multnomah,25234,40526,1801,714,25,50,3,176,190,66.5,,
289,41051003302,Multnomah,75345,58125,1977,573,30,43,1,57,133,53,,
290,41051003401,Multnomah,13517,54514,2016,935,67,95,28,166,213,68.2,,
291,41051003402,Multnomah,49121,56500,1980,836,41,62,13,106,232,63.8,,
292,41051003501,Multnomah,62768,76319,2741,333,33,163,31,158,183,53.3,,
293,41051003502,Multnomah,85323,97895,1725,146,20,66,3,29,109,38.4,,
294,41051003601,Multnomah,48333,61635,2538,1168,47,64,28,274,307,69.2,,
295,41051003602,Multnomah,51586,62050,3983,1340,35,135,39,261,399,61.1,,
296,41051003603,Multnomah,46346,83750,979,349,14,76,0,31,88,58.7,,
297,41051003701,Multnomah,63929,44110,2662,984,43,140,36,272,263,67.3,,
298,41009970200,Columbia,67097,58214,5691,29,96,34,11,62,206,18.8,,
299,41009970400,Columbia,76094,55909,2296,1,23,19,1,18,73,14.4,,
300,41009970900,Columbia,61587,75000,4533,26,58,73,14,102,177,24.6,,
301,41009970300,Columbia,53750,63393,3894,23,69,20,7,55,140,20.3,,
302,41009970500,Columbia,77549,61652,5944,30,67,63,8,49,214,18.9,,
303,41009970600,Columbia,75776,68007,5751,34,60,69,12,66,196,18.9,,
304,41009970700,Columbia,42844,58407,3817,19,73,38,11,55,194,28,,
305,41009970800,Columbia,65893,53803,6369,50,114,102,24,115,340,29.6,,
